Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2015-09-25 00:00:00-04:00,31.228397868361878,31.331916495701584,30.978224835726234,31.098997116088867,19387000,0.15,0
2015-09-28 00:00:00-04:00,30.814322759706243,31.176639632440992,30.538270868823165,30.57277488708496,21742700,0.15,0
2015-09-29 00:00:00-04:00,30.460623991786573,30.76255464891665,30.40023786036056,30.633153915405273,19785900,0.15,0
2015-09-30 00:00:00-04:00,30.960967906534762,31.219766092897935,30.86607447034885,31.159379959106445,16215000,0.15,0
2015-10-01 00:00:00-04:00,31.254270928487383,31.418175665728143,30.92645816320864,31.26289939880371,18331300,0.15,0
2015-10-02 00:00:00-04:00,30.805690729833398,31.840886846507363,30.745304591350543,31.823633193969727,18772800,0.15,0
2015-10-05 00:00:00-04:00,32.14280618952195,32.54825865399962,31.93576901376918,32.427486419677734,12741700,0.15,0
2015-10-06 00:00:00-04:00,32.36711275800316,32.65178980691156,32.358484286061724,32.54827117919922,12427300,0.15,0
2015-10-07 00:00:00-04:00,32.565516666104486,32.76392869063147,32.22045027252894,32.487876892089844,16335700,0.15,0
2015-10-08 00:00:00-04:00,32.254951841605255,32.77255134004353,32.21181937276784,32.686283111572266,13247600,0.15,0
2015-10-09 00:00:00-04:00,32.89414355840093,33.084684680677256,32.61699463720396,32.99807357788086,14656400,0.15,0
2015-10-12 00:00:00-04:00,32.84218025245047,33.01539917186657,32.64297965147859,32.94611358642578,11022500,0.15,0
2015-10-13 00:00:00-04:00,32.833536918319325,33.08470430963135,32.686302912026036,32.75558853149414,11575600,0.15,0
2015-10-14 00:00:00-04:00,32.192628089024275,32.547728870827726,32.16664639430803,32.27057647705078,14069700,0.15,0
2015-10-15 00:00:00-04:00,32.52173614501953,32.62566620306834,32.270568809514344,32.52173614501953,12205500,0.15,0
2015-10-16 00:00:00-04:00,32.73825669114279,32.73825669114279,32.16663645683579,32.36583709716797,19694700,0.15,0
2015-10-19 00:00:00-04:00,31.92413701594728,32.13199715050087,31.67296965814086,31.932796478271484,18100500,0.15,0
2015-10-20 00:00:00-04:00,31.716275571329152,32.04539132625203,31.716275571329152,31.92413902282715,13678100,0.15,0
2015-10-21 00:00:00-04:00,32.02806392170761,32.149316205541176,31.67296653167635,31.716270446777344,11062600,0.15,0
2015-10-22 00:00:00-04:00,31.915467144258734,32.790221318729934,31.915467144258734,32.72959518432617,14701400,0.15,0
2015-10-23 00:00:00-04:00,33.01539939367789,33.05004383856908,32.72959098301582,32.97209548950195,16469100,0.15,0
2015-10-26 00:00:00-04:00,32.85950639948607,33.44844881351784,32.85950639948607,33.23192596435547,12330600,0.15,0
2015-10-27 00:00:00-04:00,33.19728078737295,33.30121081726237,32.94611351992042,33.20594024658203,14110500,0.15,0
2015-10-28 00:00:00-04:00,33.45711831208869,33.682300666837854,33.23193265346238,33.673641204833984,14020000,0.15,0
2015-10-29 00:00:00-04:00,33.37049929831369,33.69961494271157,33.37049929831369,33.65631103515625,11432900,0.15,0
2015-10-30 00:00:00-04:00,33.70827026298009,33.81220359300051,33.34451351953652,33.63898468017578,16471500,0.15,0
2015-11-02 00:00:00-05:00,33.82086329090185,34.4531095188855,33.690951583272216,34.427127838134766,19789700,0.15,0
2015-11-03 00:00:00-05:00,34.3751745196373,34.877509235033266,34.27990721860311,34.8168830871582,17153100,0.15,0
2015-11-04 00:00:00-05:00,34.9467867702234,35.137327936018785,34.695622774438085,35.05937957763672,16863300,0.15,0
2015-11-05 00:00:00-05:00,34.78224399146188,35.163323165970056,34.77358452780665,34.946800231933594,16358800,0.15,0
2015-11-06 00:00:00-05:00,34.92081055891224,35.19795958684987,34.75625435603583,35.18063735961914,16481800,0.15,0
2015-11-09 00:00:00-05:00,34.998759959907545,35.07670833280219,34.45312134964503,34.73027038574219,14604900,0.15,0
2015-11-10 00:00:00-05:00,34.496411049673526,34.79087886006951,34.46176661178855,34.57435607910156,11294000,0.15,0
2015-11-11 00:00:00-05:00,33.98543669756035,34.29722690619195,33.76025102569174,33.812217712402344,18861500,0.15,0
2015-11-12 00:00:00-05:00,33.474448849616564,33.864187510204474,33.3531932243221,33.45712661743164,14591600,0.15,0
2015-11-13 00:00:00-05:00,33.32720614975989,33.43113622221961,32.23593212923925,32.30521774291992,23987600,0.15,0
2015-11-16 00:00:00-05:00,32.64298794722281,33.249252667314536,32.53039842928402,33.01540756225586,16741000,0.15,0
2015-11-17 00:00:00-05:00,33.11067092120408,33.361838198103094,32.8854886306618,33.02406311035156,14820000,0.15,0
2015-11-18 00:00:00-05:00,33.0760336359311,33.543723845087705,33.04139248641636,33.51774215698242,11958900,0.15,0
2015-11-19 00:00:00-05:00,33.49175734443618,34.05471815149751,33.44845342940307,33.794891357421875,12306100,0.15,0
2015-11-20 00:00:00-05:00,33.99409218884012,34.27990397654354,33.95078827357877,34.07204055786133,12023200,0.15,0
2015-11-23 00:00:00-05:00,34.15864958900133,34.23659796076229,33.82087441266287,33.89882278442383,9111900,0.15,0
2015-11-24 00:00:00-05:00,33.587029462851646,34.31454650157913,33.587029462851646,34.17597198486328,13766300,0.15,0
2015-11-25 00:00:00-05:00,34.1846244501193,34.2972139396101,33.98542384885547,34.002742767333984,8014700,0.15,0
2015-11-27 00:00:00-05:00,33.89881959857134,34.07203855330271,33.84685622486567,33.93346405029297,6869900,0.15,0
2015-11-30 00:00:00-05:00,33.87283153900493,34.02872823854563,33.75157928466797,33.75157928466797,18969800,0.15,0
2015-12-01 00:00:00-05:00,33.855508612442065,34.020064767924,33.699611916142935,33.97676086425781,12718200,0.15,0
2015-12-02 00:00:00-05:00,33.90748399794626,34.11534411054236,33.474438242181314,33.51774215698242,13694200,0.15,0
2015-12-03 00:00:00-05:00,33.742928735054896,33.742928735054896,32.69495866738838,32.746925354003906,20322500,0.15,0
2015-12-04 00:00:00-05:00,32.928808883173176,33.985441880282146,32.807556566235,33.91615295410156,18206600,0.15,0
2015-12-07 00:00:00-05:00,33.91614099395694,33.985429895703575,33.34452077005394,33.62166976928711,13798500,0.15,0
2015-12-08 00:00:00-05:00,33.16264121057915,33.66497251534308,33.136656221385515,33.54372024536133,15219700,0.15,0
2015-12-09 00:00:00-05:00,33.45710318408195,34.080686586591675,33.1972764910466,33.41379928588867,17516100,0.15,0
2015-12-10 00:00:00-05:00,33.4397831388141,33.6216615053799,33.006737520966475,33.07602310180664,18358300,0.15,0
2015-12-11 00:00:00-05:00,32.582369505914556,32.781570204588256,32.071375260141956,32.227272033691406,20346800,0.15,0
2015-12-14 00:00:00-05:00,32.1752917704607,32.63431908301642,31.915461748230097,32.60833740234375,20142700,0.15,0
2015-12-15 00:00:00-05:00,32.998078880339925,33.370498422519134,32.86816716108345,33.09334945678711,19262900,0.15,0
2015-12-16 00:00:00-05:00,33.49175209351828,33.89881609953836,33.21460311610609,33.699615478515625,23478000,0.15,0
2015-12-17 00:00:00-05:00,32.98941845228758,33.084689025938346,31.646977569450176,31.984752655029297,42879900,0.15,0
2015-12-18 00:00:00-05:00,31.950113971595584,32.11467346626217,31.447782634308577,31.482423782348633,28726800,0.15,0
2015-12-21 00:00:00-05:00,31.80287508926878,31.90680512507241,31.26589607921813,31.543045043945312,15042300,0.15,0
2015-12-22 00:00:00-05:00,31.5170695805943,31.794218600014528,31.395817297582564,31.690288543701172,13924800,0.15,0
2015-12-23 00:00:00-05:00,31.750907602580018,32.23591993031291,31.74224814310094,31.984752655029297,12832300,0.15,0
